time,hip_flexion_r,knee_angle_r,ankle_angle_r,hip_flexion_l,knee_angle_l,ankle_angle_l
1.1,111.9958241,111.6166645,26.9685241,113.6695273,113.1941427,38.64141182
1.1166667,110.5375859,109.3287204,26.60081932,112.1900887,110.9462288,37.45596124
1.1333333,109.2127325,106.819513,25.97389565,111.0022776,108.6442878,36.14225415
1.15,107.7375446,104.5176586,25.6517949,109.3188008,106.2608793,34.97195414
1.1666667,105.7309268,102.0654843,25.37728776,107.1943224,103.8749498,34.07933228
1.1833333,103.9724433,99.54318351,24.94722943,105.3097786,101.4427298,32.97301955
1.2,101.8642016,96.95899208,24.79445191,103.0083026,98.94806092,32.11896021
1.2166667,99.52404947,94.15224785,24.51412915,100.3398967,96.17138262,31.32880376
1.2333333,96.8358359,91.34317011,24.23350764,97.38783771,93.39179432,30.5272903
1.25,94.55284595,88.26494939,23.82916493,94.95955141,90.35296675,29.43808007
1.2666667,92.66598425,85.62011246,23.49457388,92.86711882,87.77357121,28.37682188
1.2833333,90.30164255,82.98235483,22.95716738,90.24640365,85.11247853,27.30463757
1.3,88.13161359,80.47833293,22.58266565,87.8965282,82.59607641,26.32128179
1.3166667,85.62713817,77.8173833,22.24501577,85.12651471,79.97669422,25.64199083
1.3333333,83.91479125,75.54594123,21.8172002,83.15115502,77.60402653,24.6801289
1.35,82.06590631,73.22515482,21.46108051,81.19263173,75.34634108,23.91214196
1.3666667,79.67314907,70.42297094,20.74388665,78.39620115,72.45833504,22.85283572
1.3833333,77.53117517,67.9509736,20.23877738,75.85498343,69.88517138,22.30626861
1.4,75.42369459,65.3700065,19.43746904,73.2186107,67.19324603,21.5896915
1.4166667,73.57632642,62.73957058,18.49592077,71.10566304,64.59643066,20.87026257
1.4333333,71.64444437,60.4918266,17.85603772,68.88884616,62.30077342,19.96839162
1.45,69.57002936,58.03484439,17.13657229,66.5770905,59.80392718,19.14797192
1.4666667,66.87757486,54.95933313,16.07330554,63.56041859,56.43948095,18.00686365
1.4833333,64.79332988,52.48964226,14.87015555,61.25393493,53.74327235,17.26534189
1.5,62.64150569,50.12798432,13.88120355,59.03968548,51.31828713,16.30001857
1.5166667,60.0459717,47.31532946,13.25190256,56.21171008,48.21612762,15.53537242
1.5333333,57.52264601,44.92973126,12.53938559,53.51790623,45.31251509,14.62924548
1.55,55.34945708,43.03811598,11.88059446,51.17425847,42.83165582,13.9528884
1.5666667,53.34369001,41.43450929,11.24923139,48.85272112,40.42707645,13.41271944
1.5833333,51.3384632,40.02346545,11.17406622,46.76987037,38.36947458,13.32907572
