ankle_angle,knee_angle,hip_angle
3.486596019,10.92378232,29.88856319
4.456190067,11.00267433,29.91888627
5.374911936,10.65777943,27.83839268
6.498655209,11.73247009,28.50444547
7.261532586,12.13756798,26.48046588
8.247049326,13.678042,26.63971893
8.951768417,14.77503097,25.01155921
9.748318655,16.49905555,24.58610386
10.54165432,18.12779829,23.39393288
11.45911758,20.01534459,22.64603868
12.52944571,21.93006535,21.7176363
13.84212845,23.93109122,20.89970588
15.40743447,25.96822397,20.11415474
17.16839632,27.95275018,19.33002109
19.04444329,29.72200788,18.48087667
20.85646357,31.11900341,17.44018556
22.55908161,32.0858477,16.1977556
24.0466872,32.53874819,14.70688916
25.27486538,32.46668456,12.97567508
26.27604367,31.92034208,11.00629477
26.90853275,30.93129766,8.916520858
27.27464014,29.59626548,6.634503476
27.20092226,28.08170803,4.511997917
26.83774706,26.49402706,2.551726315
26.19908443,24.78535689,0.511038361
24.98257635,22.99115046,-1.361297395
23.41342467,21.20162349,-3.176304211
21.44763053,19.39310637,-4.880454559
19.07749338,17.69959606,-6.398023114
16.42273803,16.16599779,-7.836523611
13.71338792,14.64021792,-9.145970365
11.04757742,13.15053024,-10.25821182
8.4887372,11.65281825,-11.31746701
5.778415808,10.17089495,-12.24046443
2.898397696,8.728777919,-12.99081817
-0.272936678,7.451776489,-13.58065255
-3.610758347,6.402961429,-14.08125338
-6.908966353,5.604470566,-14.51883617
-10.11278336,5.154865339,-15.00717466
-13.05506313,5.095812981,-15.52311523
-15.73189475,5.504727018,-15.98173594
-17.96826142,6.343615721,-16.47899436
-19.77315939,7.693391353,-16.8669613
-21.29391791,9.677190904,-17.1991399
-22.58533831,12.21098444,-17.46092502
-23.68036614,15.28060786,-17.5540666
-24.67261202,18.66658369,-17.49644277
-25.55578849,22.17255792,-17.37404736
-26.14541164,25.87581151,-17.0353934
-26.44603165,29.6838574,-16.63372309
-26.73287448,33.51110499,-16.17314311
-26.15466707,37.48628847,-15.69357638
-25.38444435,41.57382027,-15.13317079
-24.47041877,45.83053724,-14.35030759
-22.8430285,50.13464311,-13.59683702
-21.65724165,54.33026859,-12.73328158
-20.55591314,58.39980244,-11.87027589
-19.63526712,62.33090418,-10.99348803
-18.87501738,66.212004,-9.955842112
-18.24582762,69.71659649,-9.059276445
-18.22371277,73.07234048,-7.852551146
-18.34367618,76.14149267,-6.51089342
-18.61773526,78.85680673,-5.168027181
-18.86237076,81.29589688,-3.659418969
-19.1136548,83.31953319,-2.253703608
-18.65726235,85.18997177,-0.588723896
-18.03348272,86.68338276,0.829245079
-17.08707273,87.87948496,2.34207618
-15.35271368,88.92884139,4.263212266
-14.06172021,89.45611678,5.971697558
-12.71142072,89.70725171,8.22083318
-11.91959907,89.55872875,10.78550456
-11.87771978,88.77557245,13.44914765
-12.32067365,87.36061714,16.11421669
-13.32126176,85.38066747,18.43254084
-13.70570482,83.16581024,20.65127275
-13.4257664,80.66266973,22.64404271
-13.0155334,77.92971417,24.19976492
-10.89785118,75.22241566,25.84628269
-9.373568453,72.00166541,26.86012372
-7.230892265,68.41277128,28.10941046
-5.058120434,64.78001247,29.23650697
-4.358484942,60.89020044,30.00834712
-3.447414376,56.92279066,31.10987463
-3.838219479,52.90750581,31.90080338
-4.659564432,48.6540008,32.98392205
-5.771848288,44.1475347,33.58319471
-6.445321746,39.46536748,33.95583966
-6.813000033,34.67170106,34.03505918
-6.167114397,30.17572443,33.82816727
-5.173824058,25.89973231,33.42102065
-3.992965742,22.13785555,32.90136715
-2.533581839,18.86592538,32.11135821
-1.058568014,16.17125528,31.68819258
-0.041580662,13.92424002,30.60640881
1.176079822,12.49270471,30.75061926
1.770473018,10.72955812,29.12135808
2.568058379,10.4033148,30.03206305
3.20329249,9.241580552,27.80212064
4.278025777,9.903027994,29.46286361
4.371397969,9.222560333,26.33663957
