ankle_angle,knee_angle,hip_angle
4.486965102,17.46193103,26.78229625
5.355108585,18.20053018,26.64206808
5.826490003,17.88248263,24.4740445
6.605698286,19.66292995,25.30284872
6.889048773,19.88692629,23.26461297
7.608984071,21.9264699,23.92471048
8.399393887,23.13270021,22.82312956
9.243316341,25.25492988,23.1015106
10.20431965,27.14900776,22.80308459
11.6495608,29.40483413,22.55067571
13.05878014,31.63301772,22.38203207
14.58633093,33.71394014,22.03149437
15.98204003,35.47441966,21.53305607
17.23311086,36.81696783,20.76805999
18.22764531,37.68240967,19.7366632
18.89630418,38.07639707,18.46396295
19.63893599,38.14063956,16.92830497
19.98375781,38.04682101,15.39976616
20.24267334,37.81432259,13.81141053
20.66845153,37.45565903,12.22893949
20.99669344,36.96213964,10.78417643
21.26327268,36.20030278,9.370507476
21.26688995,35.07462886,7.972304111
21.07185399,33.65815574,6.597138424
20.38457786,31.92313283,5.318060049
19.09564907,29.93949797,4.055150053
17.33765476,28.00722178,2.894624796
15.06889452,26.14391767,1.831830751
12.81055485,24.45897812,0.645623778
10.59093997,22.95559579,-0.420324222
8.265269185,21.35520084,-1.583597921
5.965915576,19.64440807,-2.73752966
3.577594433,17.78070072,-3.857410775
0.795540468,15.71552151,-5.140162924
-1.955148176,13.72559158,-6.359794142
-4.771003402,11.92052331,-7.572193598
-8.112492897,10.38875603,-8.699648668
-11.38441859,9.348083024,-9.70081961
-14.09955253,9.023109378,-10.41564134
-16.07239696,9.496340624,-10.99737556
-17.7049275,10.6201976,-11.88555604
-18.42620015,12.74315023,-12.37657253
-18.67859448,15.74509759,-12.51678876
-18.92131074,19.43197869,-12.51052956
-19.05553295,23.62596757,-12.25899117
-19.35928543,27.9078721,-11.97264067
-19.81288522,32.18926337,-11.64214066
-20.59473889,36.33113243,-11.34142554
-21.60256207,40.38527373,-11.06203978
-22.7247387,44.52567197,-10.74914511
-23.76441732,48.76491725,-10.2697021
-24.25234464,53.13371181,-9.567921749
-24.53552108,57.50660747,-8.865392322
-24.57951861,61.87615573,-8.10365553
-24.21713907,66.24421813,-7.238049886
-23.5736703,70.56836994,-6.270705016
-22.71793926,74.78509194,-5.205945113
-21.83169585,78.8211466,-4.010095993
-21.01106795,82.63348818,-2.770598137
-20.19451928,86.17651404,-1.239172653
-19.46642167,89.36503513,0.374612091
-18.81745361,92.35956118,2.288319399
-18.16214813,95.19446675,4.709535681
-17.6400174,97.56177407,6.610078128
-17.05020826,99.60680066,8.870474416
-16.38633319,101.3712365,11.54264403
-15.92989099,102.6357052,13.75659731
-15.20627535,103.6216914,16.27083175
-14.29340913,104.2123025,18.57178711
-13.04673057,104.3443664,20.67395783
-11.38605793,104.0862445,22.92615692
-9.79507593,103.316533,24.89185372
-8.398182584,102.042438,26.8490873
-7.409021297,100.2762224,28.71814841
-6.991167628,98.02973766,30.59289577
-6.945779904,95.13062319,32.36008379
-6.999819728,91.65759229,33.87300562
-6.823942451,87.8227158,35.14116306
-6.136313528,83.67821055,35.73985391
-5.490045539,79.6665496,36.2530332
-4.215638979,75.53359025,36.18629667
-2.985334735,71.57220639,36.15200558
-2.169616372,67.64377017,36.36479785
-1.361377754,63.88921303,36.54141021
-1.26983477,60.22869143,36.80937341
-1.435891565,56.08478172,36.89140761
-1.424999857,51.82509754,37.06061936
-1.698587965,47.10294281,36.74190954
-2.119774296,42.26183859,35.88450706
-2.174566488,37.77111603,34.992476
-2.039618155,33.54247941,34.21336183
-1.661689286,29.88141391,33.39210816
-0.89156923,26.67294441,32.41175706
0.0376331,24.16990421,31.79700422
1.018714399,21.70753662,30.49681541
2.217437681,20.41357307,30.36492792
3.080231235,18.34411948,28.47233743
4.51791936,18.3458908,29.0607538
4.615247539,16.47810247,26.37509533
5.979776036,17.75434137,27.81181864
5.900248009,15.97264201,24.28355869
