ankle_angle,knee_angle,hip_angle
1.433053772,11.83963484,26.21753405
2.011055233,12.14113868,26.9944164
2.319969735,11.23994769,24.51613194
2.933528918,12.6121972,26.38370178
3.441407123,12.52999524,24.11729818
4.001898595,13.94123342,24.52339518
4.67638269,14.72379743,23.24157583
5.563843565,16.15895155,22.81335599
6.648445156,17.59915576,22.05067478
7.959098945,19.22163285,21.37132132
9.472193068,21.05259266,20.9343566
11.16732374,22.97247669,20.56500972
12.90376235,24.94282351,20.28321147
14.63977887,26.8928322,20.04556456
16.30472281,28.81005494,19.88974053
17.85379844,30.60630806,19.70701772
19.37412101,32.24087844,19.43137243
20.72792344,33.66972109,19.08250028
21.90837126,34.89600729,18.66089699
22.91230051,35.80530896,18.08930512
23.70304638,36.34482241,17.18092483
24.22814156,36.51549526,16.11016376
24.34116778,36.2358475,14.86472531
24.07333833,35.56394816,13.27229385
23.57285887,34.62023846,11.54478992
22.87559465,33.53743486,9.76959896
22.00489394,32.42491929,8.090444335
21.05587216,31.28617361,6.353583739
19.91370951,30.24830101,4.917457481
18.34491298,29.29040199,3.75384237
16.73355254,28.41207282,2.596118489
14.83876952,27.57159372,1.564936684
12.38832737,26.48702855,0.391431606
10.36485906,25.31562055,-0.623518675
8.399251262,23.99838642,-1.749338839
6.387168651,22.4311823,-3.05156932
4.487223303,20.67581936,-4.369872021
2.403476013,18.69366747,-5.909582787
0.172227594,16.53209488,-7.556608708
-2.356559638,14.30894303,-9.259086872
-5.27792776,12.08900826,-11.05027293
-8.584453026,9.982818981,-12.90302486
-11.28468995,8.282956024,-14.49843007
-13.443141,7.020361133,-15.90889756
-15.20811455,6.200796745,-17.25757839
-16.21281892,5.970744731,-18.3486991
-16.85733074,6.312882281,-19.25365639
-17.21138478,7.214306142,-20.03927227
-17.5601494,8.697133164,-20.62452907
-18.11485762,10.78430564,-20.97418839
-18.79195222,13.32975718,-21.10488805
-19.72193761,16.20944539,-21.20402651
-20.73155067,19.372162,-21.02475574
-21.52988289,22.74331396,-20.61990726
-22.30372587,26.29170594,-20.23929316
-22.98206301,30.0490354,-19.49197454
-23.26136381,34.0091802,-18.58123407
-23.1781796,38.04065878,-17.62911533
-22.71928992,42.15666091,-16.38231605
-22.05382133,46.1877793,-15.06909437
-21.32304154,49.97842478,-13.94483029
-20.43634491,53.62490363,-12.77882075
-19.49579916,57.04875358,-11.51140342
-18.51037862,60.16137482,-10.35283156
-17.49525761,63.07778984,-9.105989103
-16.48757537,65.83463652,-7.656393066
-15.37417905,68.45799385,-6.158887752
-14.05878679,71.03890823,-4.234383512
-12.52761205,73.51620886,-1.963183298
-10.67888745,75.78251716,0.449067604
-8.537154328,77.73715363,3.007572745
-6.308381054,79.1468571,5.366388338
-4.078594905,80.11130816,7.85797696
-2.121457058,80.74385255,10.27306155
-1.079335404,80.94655575,12.32065477
-1.051944381,80.72586868,14.33381871
-1.825053382,80.09567521,16.22087561
-3.161805838,78.93204071,17.77896151
-4.467576604,77.2473629,19.14464101
-5.173932906,75.09108351,20.45520139
-4.897605598,72.51410484,21.60063446
-3.718635976,69.62788571,22.56658866
-1.976495317,66.48311411,23.35191695
0.09958986,63.2155356,23.89749942
1.829072672,59.96652083,24.37785837
2.761044344,56.75655959,24.88512057
3.101673148,53.54764872,25.3086899
2.819734402,50.19416957,25.76336759
1.986372546,46.64361475,26.28938026
0.720666044,42.77975602,26.75360266
-0.761626827,38.66259602,27.21173608
-1.995088447,34.38634072,27.40719378
-2.824392748,30.31092556,27.62460663
-3.289110435,26.42540217,27.51015759
-3.397263122,22.97980806,27.34457191
-3.246509897,20.33932957,27.64532737
-2.917983616,17.4640586,26.42927186
-2.56304745,16.55046169,28.02597552
-2.037012336,13.89617608,25.17241732
-1.815357394,14.98544246,28.77954797
-1.192600411,12.16865349,23.85477471
