ankle_angle,knee_angle,hip_angle
1.79928472,16.5748613,24.24971116
2.725074962,19.28041586,26.73483604
3.622165719,18.39676617,22.96202944
4.614734186,17.90371985,19.3304707
5.770842811,19.74419933,18.99297725
7.035868212,22.47426371,19.74886789
8.347601743,24.29586104,18.90345038
9.794859263,25.53914463,16.99029587
11.39315006,27.35506281,16.00305856
13.12114359,29.8238271,16.10999861
14.85870267,31.99436537,15.9971855
16.58564237,33.48333638,15.03664657
18.25250799,34.70774962,13.88749348
19.76715015,35.99143153,13.02340784
21.07582086,37.0869983,12.1053472
22.23030606,37.65778457,10.79119798
23.31314943,37.7353457,9.238830001
24.25124902,37.47284731,7.769483421
24.84272247,36.90947841,6.257889993
25.03901154,35.99760648,4.531241511
24.97153961,34.84095002,2.573703144
24.82805085,33.58238631,0.613282045
24.5769909,32.32845499,-1.239069678
24.09143575,31.10595295,-2.998513244
23.38531389,29.93725153,-4.615384007
22.56372483,28.76084276,-6.148209888
21.75848525,27.39346359,-7.582679244
20.86498031,25.73984091,-8.998283594
19.86610719,23.63869841,-10.43064058
18.74340389,21.27423793,-11.88837074
17.54678026,18.71372129,-13.33609011
16.17480972,16.21842343,-14.6772108
14.42382999,13.87660434,-15.91320881
12.26809821,11.79255552,-17.03727404
9.778361919,10.10265167,-18.11126855
7.171910807,8.788403346,-19.10165958
4.440490985,8.016025808,-19.9683325
1.53247991,7.542458474,-20.69913962
-1.583069249,7.484036636,-21.32086445
-4.752088232,7.595013969,-21.91087169
-7.705516523,8.010418232,-22.45957607
-10.42921214,8.723964679,-22.94506335
-13.07048857,9.818435631,-23.31881675
-15.88293325,11.4413118,-23.57088185
-18.76438131,13.53934543,-23.71809117
-21.43054088,16.35785032,-23.72074874
-23.67074336,19.72334169,-23.53138586
-25.52090884,23.83377767,-23.05499004
-27.16289555,28.38291812,-22.29602502
-28.53392651,33.3318819,-21.29456512
-29.51826439,38.46804741,-20.07442378
-30.0168592,43.67618691,-18.64899981
-30.14105389,48.94572179,-17.01794366
-29.97266579,54.04282143,-15.35305698
-29.50481402,59.00598026,-13.69706449
-28.76090558,63.59643166,-12.00227478
-27.82121791,67.99478833,-10.05786717
-26.83162736,72.07880236,-7.930235477
-25.77428123,75.88679187,-5.920547865
-24.60396159,79.29372753,-4.202365431
-23.32198219,82.21927359,-2.634959344
-21.99788424,84.74278606,-0.835539721
-20.65818797,86.84640345,1.132661005
-19.21231806,88.68369804,3.012418467
-17.58100196,90.17450426,4.545043433
-15.77150842,91.44962022,5.99509008
-13.80559414,92.4705147,7.695685999
-11.74806388,93.33450822,9.727853458
-9.629062698,93.99395617,11.95182297
-7.614526621,94.37259708,14.2082237
-5.79750381,94.34027951,16.61774304
-4.203943137,93.76156513,19.12684595
-2.752535762,92.60600088,21.59924176
-1.414535381,90.84728602,23.75197705
-0.321164265,88.6469562,25.59563849
0.490564752,86.02981194,27.31213698
1.013036874,83.25156877,29.08201688
1.4499005,80.33791244,30.90890318
1.858172769,77.47953271,32.60641692
2.278126138,74.64816348,34.12553318
2.63106161,71.82697804,35.48106738
2.868540091,68.84716426,36.73553449
2.967681969,65.63621119,37.98434543
2.861614936,62.32276033,39.21775401
2.548805911,58.67982388,40.15742884
1.983920477,54.66242224,40.41806365
1.307684492,50.16180716,40.08687506
0.644223803,45.7717696,39.7639295
0.088409296,41.61166983,39.64578924
-0.42457573,37.41039835,39.05586145
-0.892460907,32.89653018,37.504982
-1.115813511,28.7342599,35.86068838
-0.924386715,25.86286008,35.2508642
-0.451775007,23.63286647,34.93053002
-0.074108321,20.92561909,33.06928987
0.164802086,17.82094035,29.94668168
0.649420317,16.68871002,28.61691608
1.578453998,18.21502678,30.18692748
2.399337633,19.3125628,30.45160031
2.284882796,15.68546915,23.87125719
1.182154806,7.489651389,11.18602504
