ankle_angle,knee_angle,hip_angle
5.323077002,13.38990147,26.45701931
5.825010102,13.67061345,26.55510702
5.765519357,12.92569916,24.02541614
6.456782166,14.30889726,24.98499902
6.547374536,14.27901399,22.68224485
7.092103961,15.76397857,22.90128926
6.856998826,16.68957947,21.49302217
7.279189883,18.56358124,21.38919578
8.006688867,20.31935802,20.56490163
8.824497339,22.51341722,20.14637764
10.22009484,24.84671107,19.66512873
11.4194772,27.15612421,19.33076932
13.11490826,29.44514331,18.81198496
14.56067462,31.36416743,17.99338231
15.76383069,33.15712913,17.36592972
16.96710289,34.58274676,16.59384097
18.11415007,35.56330844,15.75289387
19.12983074,36.13396877,14.79145865
19.68915483,36.18827167,13.50825986
20.30938861,35.96754743,12.35847185
20.63662418,35.09789004,11.05222617
20.60907542,33.73436817,9.501965745
20.31999541,31.97420052,7.765666138
19.77483672,29.67898657,5.903948541
18.83168406,27.08577683,4.015721567
17.42711363,24.44873619,2.115929538
15.55926752,21.8219128,0.281748001
13.71363004,19.46668704,-1.460377866
11.94114175,17.46784285,-3.08672261
9.736288035,15.90235096,-4.50390461
7.61180685,14.65546166,-5.799884309
5.826624896,13.18413811,-6.975233462
4.13999923,11.66639858,-7.934385689
2.62655677,10.13816305,-8.874404937
1.119880612,8.53024986,-9.842208134
-0.429383271,7.074055519,-10.8171649
-2.432972602,5.904097767,-11.73402645
-4.943663096,5.192915142,-12.60190174
-7.519026882,4.997045911,-13.54397441
-10.4499269,5.278897267,-14.4344398
-13.33933058,6.059740946,-15.14626303
-15.87673933,7.220888834,-15.72426788
-17.88571217,8.757711104,-16.15471918
-18.62467056,10.7227179,-16.33418997
-19.39502275,12.9852508,-16.47730019
-19.60614769,15.64797411,-16.51360885
-19.48885092,18.57288415,-16.37992378
-18.84124092,21.58346163,-16.2864081
-18.35958526,24.59193713,-16.1650071
-18.975712,27.46901453,-16.01204676
-19.28550669,30.29144656,-15.91411167
-19.75823218,33.00177047,-15.80825821
-19.58742977,35.6702573,-15.67564293
-20.65320816,38.28440163,-15.51807379
-21.69372447,40.89612792,-15.27970018
-21.93309972,43.6450086,-14.97638704
-22.42841287,46.51357648,-14.54698417
-22.59378622,49.55065158,-14.05167613
-22.55941889,52.74294717,-13.36393364
-21.68307881,56.00880376,-12.58142119
-20.51035043,59.331405,-11.6189144
-19.71558841,62.53970301,-10.31800809
-18.84761134,65.57111851,-9.110684483
-18.44195271,68.51151928,-7.52839939
-17.72653974,71.21291017,-5.897938788
-17.25645177,73.52185433,-4.126569566
-16.56596842,75.60354466,-2.148710358
-15.10572584,77.20686889,-0.226213261
-13.24171148,78.29697484,1.926616474
-10.35939214,79.1246891,4.170128492
-7.358020927,79.5364492,6.518954399
-4.675817516,79.60364216,8.97167666
-2.863003078,79.26801691,11.46746456
-2.077208644,78.56218267,14.00619115
-1.805594991,77.47872606,16.58998335
-1.847331151,75.74294991,18.9487549
-1.663532577,73.42108722,21.06232589
-1.182552956,70.52537866,22.97664087
-0.361528345,67.04282087,24.51901814
1.450835191,63.41300441,25.70483661
2.600105373,59.72208192,26.79448384
2.595255802,56.14968644,27.77873394
2.427619758,52.90829016,28.45388418
0.852232033,49.61056122,29.19794506
-0.509293244,46.3818185,30.03504043
-1.691341165,43.0959781,30.6960876
-3.251132404,39.50240643,31.22801148
-4.242222984,35.93781597,31.44440164
-5.24490237,32.38901807,31.50841603
-4.684380204,29.06219491,31.53867033
-3.003711417,26.17022591,31.14189249
-2.384099436,23.67631245,30.50849204
-1.034310846,21.77097859,29.98433348
0.9718303,20.33491079,29.71064522
1.885150374,18.88850292,28.77519545
3.112096849,18.37357857,28.9012121
3.911101342,16.89414022,27.30369008
5.262427248,17.31941272,28.41173496
5.427477217,15.46463038,25.65098021
6.939185151,16.93372691,27.87265001
6.541381186,14.64924393,23.77251381
