ankle_angle,knee_angle,hip_angle
0.706331498,8.887888127,23.20935987
1.042010751,9.187391972,23.4891708
1.296238242,9.201540084,22.1722573
1.638110316,10.24925667,22.98781056
1.893879309,10.69896227,21.67438026
2.236887647,11.97779191,21.99537079
2.665552782,12.89299781,20.96795534
3.262112943,14.35582827,20.90528718
4.356106032,15.76797854,20.13615756
5.69892291,17.50475733,19.63261451
7.352303918,19.46519024,19.14492087
9.530100248,21.71120384,18.79745513
11.93418833,24.09503009,18.33696819
14.48592354,26.58011855,17.91035591
16.89571517,29.082137,17.60829595
19.14301532,31.31801651,17.10667553
21.0302031,33.10431021,16.36209179
22.63080295,34.36025596,15.4021307
23.82636056,34.92928307,13.98612597
24.59109264,34.90486906,12.31835918
25.09045323,34.39799522,10.41385267
25.46515131,33.57435706,8.289922574
25.7391202,32.62212149,6.178457181
25.81164775,31.54079082,4.064860996
25.74897643,30.33457911,2.007769506
25.33879828,29.0000115,0.087927073
24.35092256,27.53171899,-1.710514457
22.75922597,25.92821745,-3.424853641
20.42811535,24.3503961,-4.949540555
17.43137591,22.69376992,-6.452095255
14.0392262,20.73811843,-8.099077345
10.5343663,18.8493559,-9.493419448
7.038749427,16.91317677,-10.78622868
3.935617009,15.11885668,-11.83654092
1.176657655,13.55317303,-12.57904991
-1.434804033,12.18039849,-13.22050274
-3.688151131,11.20699543,-13.63154702
-6.185661661,10.50413722,-14.03436297
-8.85642661,10.14455247,-14.46501932
-11.73544684,10.04135918,-14.79992505
-15.07798844,9.987651746,-15.21925556
-18.09321999,10.09101804,-15.62424543
-20.78841542,10.33447117,-15.92811652
-23.07149141,10.7682508,-16.25302069
-24.79420568,11.46822384,-16.53939916
-25.88720328,12.49645714,-16.73981999
-26.36641801,13.77902124,-16.99713346
-26.35226309,15.29722538,-17.23687655
-26.03672003,17.03844963,-17.45608261
-25.49112089,18.95356485,-17.56085944
-24.84625529,21.03656597,-17.5316964
-24.12867255,23.34030106,-17.58069688
-23.41451349,25.93073195,-17.53854592
-22.7883771,28.8787984,-17.25885379
-22.18964576,32.2157895,-16.79300338
-21.68654984,35.90637092,-16.18313666
-21.15021362,39.94870661,-15.34961588
-20.47074427,44.3070003,-14.15709502
-19.61576534,48.84702709,-12.86073598
-18.53599906,53.37818067,-11.43844452
-17.40674101,57.76121142,-9.813253918
-16.18599841,61.88774878,-8.239920897
-14.78771152,65.7505712,-6.653415694
-13.24317987,69.36257478,-5.071990791
-11.55254901,72.61780855,-3.541891951
-9.66316561,75.51132468,-2.099190448
-7.689981815,77.91341145,-0.631242094
-5.805224934,79.76513751,0.705514166
-3.9237304,81.20470498,1.89394078
-1.984827969,82.26545772,3.255952489
-0.046386928,83.04517237,4.638165644
1.88898264,83.4486398,6.249570306
3.713308738,83.50039938,8.182361088
5.057507442,83.38803262,10.16297987
5.594194265,82.94724756,12.24897674
5.126839908,82.06589155,14.49613734
3.552642746,80.71933633,16.56198152
1.322136042,78.95029073,18.5993283
-1.124547753,76.77603046,20.48152478
-3.331238995,74.26244819,22.07567795
-5.049775471,71.45562933,23.40749115
-6.203860879,68.53523433,24.5743049
-6.832414091,65.64637347,25.70116473
-7.123069417,62.73851539,26.7532698
-7.282270366,59.84280762,27.76274654
-7.485917312,56.79599723,28.64047791
-7.586116236,53.4900661,29.42254264
-7.723420859,49.75922875,29.8932516
-7.793929553,45.4522571,30.01230652
-7.662971049,40.81339202,29.88152414
-7.313997359,35.97695397,29.53015367
-6.805497247,31.11069983,29.06932867
-6.141412196,26.42057729,28.40083407
-5.388242842,22.2554217,28.05337996
-4.642137985,18.33692546,27.08028002
-4.052417945,15.43534463,27.22703586
-3.439830699,12.61568962,25.74748818
-3.056093271,11.35257052,26.64679097
-2.497972981,9.618822416,24.6953324
-2.125051347,9.766700628,26.3419824
-1.598289901,8.787975049,23.77651095
