ankle_angle,knee_angle,hip_angle
-1.645948455,14.25859813,31.18659362
-1.503914347,14.9565103,32.61298273
-1.060460663,13.72424705,29.33584908
-1.021167804,15.52427702,31.80237479
-0.651482789,15.25222992,29.11797677
-0.315676364,16.676666,29.79091252
0.277595906,17.54217171,28.72055514
1.03645982,18.77425022,28.07379973
1.952725473,20.24889733,27.62091826
3.139259062,21.69771699,26.61729638
4.538797861,23.52026719,26.08987524
6.157813971,25.36055001,25.38259585
7.916747984,27.30469738,24.68070022
9.766984744,29.22831809,23.8857263
11.59878249,31.02829956,23.03815288
13.24058606,32.68664555,22.23701965
15.04901787,34.18310199,21.28465081
16.74672903,35.38943264,20.1478004
18.14991028,36.3623658,18.99009149
19.61563786,37.17917779,17.7265102
20.92898051,37.82399806,16.47137078
22.22853515,38.48251009,15.39520462
23.40049531,38.99806788,14.28800978
24.30427917,39.41239936,13.37539548
24.84890378,39.7393571,12.5050386
24.84199584,39.85282498,11.7472334
24.36516024,39.77630466,11.13800088
23.38252517,39.47276503,10.20804547
22.13551587,39.26148687,9.789276266
20.50577317,39.09859004,9.147260197
18.44145998,38.83039836,8.053640941
16.32329761,38.56572734,7.306168185
14.12298429,38.12729346,6.268913843
11.94458821,37.5129422,5.327952901
10.1101671,36.71984306,4.414064598
8.615364039,35.67163157,3.30838685
7.143526854,34.40828127,2.257272436
5.66207063,32.98164288,1.141972747
4.18911876,31.46805667,0.06671036
2.522002488,29.90912619,-0.931083508
0.721366718,28.44359919,-1.808443691
-1.26137314,27.19088081,-2.491065982
-3.426147344,26.20853959,-3.067163787
-5.735690469,25.59168502,-3.548677187
-8.170242485,25.43112135,-3.986490319
-10.78012394,25.6869154,-4.308158754
-13.71997399,26.38030374,-4.373758699
-16.55368709,27.45325502,-4.59223192
-19.27340894,28.88298567,-4.63637235
-21.92079448,30.52638779,-4.572226459
-24.17737391,32.28781081,-4.490542855
-26.02989696,34.1450146,-4.334297058
-27.37732686,36.04182834,-4.225468297
-28.20350345,38.11760901,-3.274168201
-28.31803145,40.26414685,-2.949723878
-27.85229702,42.4925507,-3.172619835
-27.01802765,45.06426359,-2.426914806
-25.72450264,47.84081556,-1.738459465
-24.19035883,50.60264349,-1.054166451
-22.49690666,53.39944544,-0.230623922
-20.76449442,56.21546421,0.593005072
-19.11094643,58.97268013,1.619949192
-17.56831685,61.64616276,2.716827322
-16.22167958,64.1926,3.877764405
-14.85831713,66.54417606,5.18393992
-13.34970189,68.75382484,6.629228377
-11.70199538,70.64742872,8.101734509
-9.774183454,72.22077841,9.64740047
-7.66738783,73.4654802,11.10131726
-5.571191402,74.40304448,12.4381663
-3.621799808,75.00777482,13.80853958
-2.183832125,75.18893858,15.15665854
-1.279489514,75.25033756,16.58449244
-0.772765873,74.97212849,17.91458133
-0.697220465,74.0590462,19.31153796
-0.727003707,72.74845779,20.66433107
-0.472232853,71.1038763,21.80460301
0.032121898,69.07809356,23.04474414
0.648477102,66.6964789,23.78521723
1.316200467,64.12660675,24.34093374
1.980076694,61.561701,25.17859436
2.600281984,58.97200781,25.9109509
3.019164223,56.38668011,26.77447177
3.139698889,53.7258522,27.75678618
3.025377383,50.83039847,28.63051555
2.661034707,47.6257674,29.44830348
2.075391647,44.0618814,30.18244696
1.43878836,40.22919901,30.77608552
0.819757189,36.3635563,31.24913562
0.272417655,32.5257226,31.54677943
-0.165182547,28.88697656,31.76039796
-0.584171319,25.47741378,31.61704754
-1.033239486,22.64002563,31.78961706
-1.462870182,19.92372149,31.22137191
-1.957419585,18.02455476,31.34384023
-2.365359287,16.37752254,31.06827514
-2.618405053,14.84538238,30.11106331
-2.824477036,14.8329868,31.53294865
-2.66692068,12.82237996,27.93767393
-2.819003369,14.89250161,32.26654656
-1.928596883,11.89050945,25.49006282
